Date,Price,Open,High,Low,Vol.,Change %
2020-03-22,0.1478,0.1579,0.1615,0.1462,82.54M,-0.0634
2020-03-23,0.1585,0.1476,0.1614,0.1451,106.88M,0.0724
2020-03-24,0.1623,0.1586,0.1636,0.157,79.92M,0.024
2020-03-25,0.1618,0.1622,0.1649,0.1572,59.28M,-0.0031
2020-03-26,0.176,0.1617,0.1773,0.1599,63.30M,0.0878
2020-03-27,0.1728,0.1759,0.1871,0.1699,97.98M,-0.0182
2020-03-28,0.1754,0.1725,0.1797,0.1666,98.70M,0.015
2020-03-29,0.1627,0.1754,0.1765,0.162,60.65M,-0.0724
2020-03-30,0.1711,0.1627,0.1753,0.1625,46.72M,0.0516
2020-03-31,0.1736,0.1711,0.1778,0.1704,34.84M,0.0146
2020-04-01,0.1749,0.1735,0.176,0.1681,41.75M,0.0075
2020-04-02,0.1783,0.1752,0.186,0.1741,58.66M,0.0194
2020-04-03,0.1795,0.1782,0.1827,0.1758,41.72M,0.0067
2020-04-04,0.1812,0.1795,0.1829,0.1777,30.38M,0.0095
2020-04-05,0.1792,0.1813,0.182,0.1768,24.86M,-0.011
2020-04-06,0.1982,0.1793,0.1982,0.1792,56.62M,0.106
2020-04-07,0.193,0.1981,0.2051,0.1899,78.27M,-0.0262
2020-04-08,0.2018,0.1929,0.2028,0.1915,50.00M,0.0456
2020-04-09,0.1982,0.2018,0.2022,0.1946,36.57M,-0.0178
2020-04-10,0.1877,0.1982,0.1987,0.1813,51.85M,-0.053
2020-04-11,0.1885,0.1876,0.1921,0.185,28.85M,0.0043
2020-04-12,0.1891,0.1885,0.1956,0.1862,40.98M,0.0032
2020-04-13,0.1876,0.1893,0.1893,0.1808,51.51M,-0.0079
2020-04-14,0.186,0.1877,0.1892,0.1836,25.82M,-0.0085
2020-04-15,0.1805,0.1862,0.1897,0.18,38.41M,-0.0296
2020-04-16,0.1905,0.1805,0.1929,0.1743,63.63M,0.0554
